fund_name,Predicted strategy,strategy evidence,source meta data
AB Balanced Wealth Strategy Portfolio,Balanced Fund (Low Risk),"AB Balanced Wealth Strategy Portfolio <head_breaker>

AB VPS BALANCED WEALTH STRATEGY PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is to maximize total return consistent with the Adviser's determination of reasonable risk.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A",{'source': 'MutualFundSummary/AB Balanced Wealth Strategy Portfolio.txt'}
AB Asia ex-Japan Equity Portfolio,Equity Long Only (Low Risk),"PRINCIPAL STRATEGIES The Adviser seeks to achieve the Fund's investment objective by investing, under normal circumstance, at least 80% of the Fund's net assets in a portfolio of equity securities of companies economically tied to the Asia region, excluding companies in Japan (""Asia ex-Japan companies""), and derivatives related thereto. Asia ex-Japan companies include any company that (i) is domiciled or organized in an Asia ex-Japan country; (ii) has an established presence and conducts business in the Asia ex-Japan region; or (iii) conducts a significant part of its economic activities in the Asia ex-Japan region. Many countries in the Asia ex-Japan region are considered emerging market or frontier market countries. Emerging markets have less developed and smaller economies and capital markets than developed countries and frontier market countries have less developed and smaller economies and capital markets than emerging market countries. Equity securities may include common",{'source': 'MutualFundSummary/AB Asia ex-Japan Equity Portfolio.txt'}
AB All Market Income Portfolio,Balanced Fund (Low Risk),"AB All Market Income Portfolio <head_breaker>

AB ALL MARKET INCOME PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to seek current income with consideration of capital appreciation.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Funds--Sales Charge Reduction Programs for Class A Shares on page 69 of this Prospectus, in Appendix B--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 129 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB All Market Income Portfolio.txt'}
AB All Market Real Return Portfolio,Balanced Fund (Low Risk),"AB All Market Real Return Portfolio <head_breaker>

AB ALL MARKET REAL RETURN PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to maximize real return over inflation.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Funds--Sales Charge Reduction Programs for Class A Shares on page 34 of this Prospectus, in Appendix C--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 108 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB All Market Real Return Portfolio.txt'}
AB Arizona Portfolio,Fixed Income Long Only (Low Risk),"AB Arizona Portfolio

<head_breaker>

AB Arizona Portfolio

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE: The investment objective of the Portfolio is to earn the highest level of current income exempt from both federal income tax and State of Arizona personal income tax that is available without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE PORTFOLIO:",{'source': 'MutualFundSummary/AB Arizona Portfolio.txt'}
AB Bond Inflation Strategy,Fixed Income Long Only (Low Risk),"AB Bond Inflation Strategy

<head_breaker>

SUMMARY INFORMATION

--------------------------------------------------------------------------------

AB BOND INFLATION STRATEGY

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to maximize real return without assuming what the Adviser considers to be undue risk.

FEES AND EXPENSES OF THE FUND",{'source': 'MutualFundSummary/AB Bond Inflation Strategy.txt'}
AB Credit Long/Short Portfolio,Balanced Fund (Low Risk),"AB Credit Long/Short Portfolio

<head_breaker>

AB CREDIT LONG/SHORT PORTFOLIO

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is to seek absolute return over a full market cycle.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Funds--Sales Charge Reduction Programs for Class A Shares on page 61 of this Prospectus, in Appendix C--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 126 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB Credit LongShort Portfolio.txt'}
AB Discovery Value Fund,Equity Long Only (Low Risk),"AB Discovery Value Fund

<head_breaker>

AB DISCOVERY VALUE FUND

--------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Fund's investment objective is long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge reductions if you and members of your family invest, or agree to invest in the future, at least $100,000 in AB Mutual Funds. More information about these and other discounts is available from your financial intermediary and in Investing in the Funds--Sales Charge Reduction Programs for Class A Shares on page 69 of this Prospectus, in Appendix B--Financial Intermediary Waivers of this Prospectus and in Purchase of Shares--Sales Charge Reduction Programs for Class A Shares on page 129 of the Fund's Statement of Additional Information (""SAI"").",{'source': 'MutualFundSummary/AB Discovery Value Fund.txt'}
AB Dynamic Asset Allocation Portfolio,Balanced Fund (Low Risk),"AB Dynamic Asset Allocation Portfolio <head_breaker>

AB VPS DYNAMIC ASSET ALLOCATION PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is to maximize total return consistent with the Adviser's determination of reasonable risk.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A",{'source': 'MutualFundSummary/AB Dynamic Asset Allocation Portfolio.txt'}
AB FlexFee Core Opportunities Portfolio,Equity Long Only (Low Risk),"AB FlexFee Core Opportunities Portfolio <head_breaker>

AB FlexFeeTM Core Opportunities Portfolio

INVESTMENT OBJECTIVE

The Fund’s investment objective is long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may be required to pay commissions and/or other forms of compensation to a broker for transactions in Advisor Class shares, which are not reflected in the tables or the examples below.

Shareholder Fees (fees paid directly from your investment)

None

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Advisor Class

Management Fees(a)	.39	%

Distribution and/or Service (12b

1) Fees	None

Other Expenses:

Transfer Agent	.11	%

Other Expenses(b)	35.06	%

Total Other Expenses	35.17	%

Acquired Fund Fees and Expenses	.04	%

Total Annual Fund Operating Expenses Before Waiver	35.60	%",{'source': 'MutualFundSummary/AB FlexFee Core Opportunities Portfolio.txt'}
AB FlexFee Emerging Markets Growth Portfolio,Equity Long Only (Low Risk),"AB FlexFee Emerging Markets Growth Portfolio <head_breaker>

AB FlexFeeTM Emerging Markets Growth Portfolio

(formerly, AB Emerging Markets Growth Portfolio)

INVESTMENT OBJECTIVE

The Fund’s investment objective is to seek long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may be required to pay commissions and/or other forms of compensation to a broker for transactions in Advisor Class shares, which are not reflected in the tables or the examples below.

Shareholder Fees (fees paid directly from your investment)

None

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/AB FlexFee Emerging Markets Growth Portfolio.txt'}
AB FlexFee International Strategic Core Portfolio,Balanced Fund (Low Risk),"AB FlexFee International Strategic Core Portfolio <head_breaker>

AB FlexFeeTM International Strategic Core Portfolio

INVESTMENT OBJECTIVE

The Fund’s investment objective is to seek long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may be required to pay commissions and/or other forms of compensation to a broker for transactions in Advisor Class shares, which are not reflected in the tables or the examples below.

Shareholder Fees (fees paid directly from your investment)

None

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/AB FlexFee International Strategic Core Portfolio.txt'}
AB FlexFee Large Cap Growth Portfolio,Equity Long Only (Low Risk),"AB FlexFee Large Cap Growth Portfolio <head_breaker>

AB FlexFeeTM Large Cap Growth Portfolio

INVESTMENT OBJECTIVE

The Fund’s investment objective is long-term growth of capital.

FEES AND EXPENSES OF THE FUND

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may be required to pay commissions and/or other forms of compensation to a broker for transactions in Advisor Class shares, which are not reflected in the tables or the examples below.

Shareholder Fees (fees paid directly from your investment)

None

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Advisor Class

Management Fees(a)	 	 	.05	%

Distribution and/or Service (12b

1) Fees	 	 	None

Other Expenses:

Transfer Agent	 	 	.11	%

Other Expenses(b)	 	 	33.76	%

Total Other Expenses	 	 	33.87	% Acquired Fund Fees and Expenses	 	 	.02	%

Total Annual Fund Operating Expenses Before Waiver	 	 	33.94	%",{'source': 'MutualFundSummary/AB FlexFee Large Cap Growth Portfolio.txt'}
AB Global Risk Allocation-Moderate Portfolio,Balanced Fund (Low Risk),"AB Global Risk Allocation

Moderate Portfolio

<head_breaker>

AB VPS GLOBAL RISK ALLOCATION--MODERATE PORTFOLIO --------------------------------------------------------------------------------

INVESTMENT OBJECTIVE The Portfolio's investment objective is to seek long term growth of capital while seeking to limit volatility.

FEES AND EXPENSES OF THE PORTFOLIO

This table describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. Because the information does not reflect deductions at the separate account level or contract level for any charges that may be incurred under a contract, Contractholders that invest in the Portfolio should refer to the variable contract prospectus for a description of fees and expenses that apply to Contractholders. Inclusion of these charges would increase the fees and expenses provided below.

SHAREHOLDER FEES (fees paid directly from your investment) N/A",{'source': 'MutualFundSummary/AB Global Risk Allocation-Moderate Portfolio.txt'}
